"","Importer","Year","Category","Country","region","subregion","vol","SYear","Category1"
"1","BD","0","2","Bangladesh","Asia","Southern Asia",0,-1.65035306030716,"No"
"2","BE","0","1","Belgium","Europe","Western Europe",200,-1.65035306030716,"Yes"
"3","CA","0","1","Canada","Americas","Northern America",1079,-1.65035306030716,"Yes"
"4","CH","0","1","Switzerland","Europe","Western Europe",360,-1.65035306030716,"Yes"
"5","CL","0","P","Chile","Americas","Latin America and the Caribbean",0,-1.65035306030716,"No"
"6","CN","0","2","China","Asia","Eastern Asia",0,-1.65035306030716,"No"
"7","CO","0","1","Colombia","Americas","Latin America and the Caribbean",0,-1.65035306030716,"Yes"
"8","CR","0","1","Costa Rica","Americas","Latin America and the Caribbean",0,-1.65035306030716,"Yes"
"9","CZ","0","1","Czechia","Europe","Eastern Europe",0,-1.65035306030716,"Yes"
"10","DE","0","1","Germany","Europe","Western Europe",35,-1.65035306030716,"Yes"
"11","DK","0","1","Denmark","Europe","Northern Europe",0,-1.65035306030716,"Yes"
"12","ES","0","1","Spain","Europe","Southern Europe",12,-1.65035306030716,"Yes"
"13","FR","0","1","France","Europe","Western Europe",285,-1.65035306030716,"Yes"
"14","GB","0","1","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe",160,-1.65035306030716,"Yes"
"15","HK","0","1","Hong Kong","Asia","Eastern Asia",0,-1.65035306030716,"Yes"
"16","HU","0","2","Hungary","Europe","Eastern Europe",75,-1.65035306030716,"No"
"17","ID","0","P","Indonesia","Asia","South-eastern Asia",0,-1.65035306030716,"No"
"18","IE","0","NP","Ireland","Europe","Northern Europe",0,-1.65035306030716,"No"
"19","IT","0","1","Italy","Europe","Southern Europe",0,-1.65035306030716,"Yes"
"20","JO","0","3","Jordan","Asia","Western Asia",0,-1.65035306030716,"No"
"21","JP","0","1","Japan","Asia","Eastern Asia",1169,-1.65035306030716,"Yes"
"22","KP","0","NP","Korea (Democratic People's Republic of)","Asia","Eastern Asia",0,-1.65035306030716,"No"
"23","KR","0","1","Korea, Republic of","Asia","Eastern Asia",0,-1.65035306030716,"Yes"
"24","MA","0","3","Morocco","Africa","Northern Africa",0,-1.65035306030716,"No"
"25","MX","0","1","Mexico","Americas","Latin America and the Caribbean",0,-1.65035306030716,"Yes"
"26","NL","0","1","Netherlands","Europe","Western Europe",761,-1.65035306030716,"Yes"
"27","PT","0","1","Portugal","Europe","Southern Europe",50,-1.65035306030716,"Yes"
"28","RS","0","NP","Serbia","Europe","Southern Europe",0,-1.65035306030716,"No"
"29","RU","0","2","Russian Federation","Europe","Eastern Europe",100,-1.65035306030716,"No"
"30","SK","0","1","Slovakia","Europe","Eastern Europe",0,-1.65035306030716,"Yes"
"31","SV","0","2","El Salvador","Americas","Latin America and the Caribbean",0,-1.65035306030716,"No"
"32","TH","0","2","Thailand","Asia","South-eastern Asia",170,-1.65035306030716,"No"
"33","TW","0","NP","Taiwan, Province of China","Asia","Eastern Asia",0,-1.65035306030716,"No"
"34","UA","0","2","Ukraine","Europe","Eastern Europe",0,-1.65035306030716,"No"
"35","US","0","1","United States of America","Americas","Northern America",33820,-1.65035306030716,"Yes"
"36","ZA","0","2","South Africa","Africa","Sub-Saharan Africa",0,-1.65035306030716,"No"
"37","BD","1","2","Bangladesh","Asia","Southern Asia",350,-1.48531775427645,"No"
